"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","pgs_gxc_cor","PGS_pv_ols"
"HDL",0.1064,0,0.2935,0.01,0.1067,0.2156,0.18796992481203,-0.093984962406015,0.56390977443609,0.2937,-0.031,-0.10554988083078,0.01,0.113,2e-04,6.20300751879699,4.22932330827068,8.17669172932331,0.279,-0.0275,-0.0725,-10.1454545454545,-3.84827586206897,0.01,1e-06,-0.121111158699402,-0.187427771901683,0
"HDL 0",0.1103,0,0.2981,0.01,0.1103,0.7661,0,0,0,0.2981,-0.0031,-0.0103991949010399,0.01,0.1106,0.2718,0.271985494106981,-0.181323662737987,0.634632819582956,0.2976,-0.0054,-0.0152,-55.1111111111111,-19.578947368421,0.01,1e-06,-0.129036718382993,-0.0419542442212848,0
"BMD Heel T-score",0.0896,0,0.2958,1e-04,0.0896,0.6743,0.111607142857143,-0.223214285714286,0.334821428571429,0.2959,0.0166,0.0561000337952011,1e-04,0.0892,0.1496,-0.446428571428572,-1.11607142857143,0.111607142857143,0.2959,0.0073,-0.0152,40.5342465753425,-19.4671052631579,1e-04,0.001,0.0207315702305766,0.0102936883092948,8.23033092059747e-253
"Height",0.2426,0,0.3422,0.01,0.2426,0.1412,-0.0412201154163232,-0.0412201154163232,0,0.3422,0.0058,0.0169491525423729,0.01,0.2425,0.1928,-0.0412201154163232,-0.123660346248969,0.0412201154163232,0.3422,-9e-04,0.0056,-380.222222222222,61.1071428571429,0.01,0.001,-0.0367550367670448,0.0114115230245038,0
"Height 0",0.2414,0,0.3426,0.01,0.2413,0.1374,0,-0.0414250207125104,0,0.3426,0.0044,0.0128429655575015,0.01,0.2412,0.054,-0.0414250207125104,-0.124275062137531,0,0.3426,0.0046,-7e-04,74.4782608695652,-489.428571428571,0.01,0.05,-0.0365204377258067,0.0104918797886794,0
"Hip circumference",0.0612,0,0.2655,0.1,0.0614,0.0256,0.326797385620915,0,0.65359477124183,0.2656,0.0152,0.0572289156626506,0.1,0.0614,0.2106,0.326797385620915,-0.163398692810458,0.816993464052288,0.2661,0.0032,-0.0119,83.15625,-22.3613445378151,0.1,0.5,0.106662020961759,0.0689501404652046,0
"IGF-1",0.0894,0,0.2998,0.01,0.0894,0.5093,0,-0.111856823266219,0.111856823266219,0.2998,0.0095,0.0316877918612408,0.01,0.0893,0.1554,-0.223713646532439,-0.447427293064877,0.111856823266219,0.3001,0.0031,-0.0084,96.8064516129032,-35.7261904761905,0.01,0.5,-0.00387773921980936,0.0726783904394955,0
"LDL",0.1318,0,0.3458,0.001,0.1339,4e-04,1.59332321699545,0.682852807283763,2.42792109256449,0.3447,-0.1167,-0.338555265448216,0.001,0.1384,2e-04,5.00758725341426,3.41426403641882,6.60091047040971,0.3056,-0.0029,-0.0943,-105.379310344828,-3.2407211028632,0.001,1e-10,-0.387411400931035,-0.421956742366086,0
"LDL 0",0.1331,0,0.3418,1e-04,0.1333,0.5795,0.0751314800901578,-0.300525920360631,0.450788880540947,0.3413,-0.0409,-0.119835921476707,1e-04,0.1342,0.0278,0.826446280991736,0.0751314800901578,1.57776108189331,0.3334,0.0016,-0.039,208.375,-8.54871794871795,1e-04,1e-06,-0.415831675337963,-0.22344064095749,0
"Leukocyte count",0.0484,0,0.2125,0.1,0.0484,0.7625,0,-0.206611570247934,0.206611570247934,0.2126,0.0116,0.0545625587958608,0.1,0.0483,0.4262,-0.206611570247934,-0.619834710743802,0.206611570247934,0.2125,0.008,-0.0025,26.5625,-85,0.1,1e-04,0.111657596272289,-0.00189457711710702,3.90337934455747e-263
"Lipoprotein a",0.3745,0,0.6918,1e-10,0.3748,0.009,0.0801068090787717,0.0267022696929239,0.160213618157543,0.692,0.0259,0.0374277456647399,1e-10,0.424,2e-04,13.2176234979973,11.4018691588785,15.0333778371162,0.3933,0.1887,0.3447,2.08426073131955,1.14099216710183,1e-10,1e-10,0.0389361568002951,0.735660033053527,0
"Lipoprotein a 0",0.332,0,0.6579,1e-08,0.332,0.2816,0,0,0.0301204819277108,0.6579,0.0064,0.00972792217662259,1e-08,0.3318,0.0412,-0.0602409638554217,-0.120481927710843,0,0.6579,-0.0026,0.0075,-253.038461538462,87.72,1e-08,0.001,0.0213279726944821,0.00106293249521863,0
"Lymphocyte count",0.0204,0,0.1275,0.05,0.0205,0.3028,0.490196078431373,-0.490196078431373,0.980392156862745,0.1275,0.0141,0.110588235294118,0.05,0.0202,0.4182,-0.980392156862745,-2.94117647058824,0.980392156862745,0.1281,-0.0067,-0.014,-19.1194029850746,-9.15,0.05,0.005,0.0495164734090126,0.0707696142308057,3.14040067219712e-110
"Mean corpuscular volume",0.0924,0,0.3375,0.01,0.0924,0.8699,0,-0.108225108225108,0.108225108225108,0.3375,0.0083,0.0245925925925926,0.01,0.0924,0.4542,0.108225108225108,-0.108225108225108,0.216450216450216,0.3375,-0.0025,-0.0071,-135,-47.5352112676056,0.01,0.001,-0.0134013677478296,-0.00451798225070487,0
"Monocyte count",0.0469,0,0.2125,0.01,0.0471,0.085,0.213219616204691,0,0.639658848614073,0.2126,0.0159,0.074788334901223,0.01,0.047,0.6003,0.213219616204691,-0.639658848614073,1.06609808102345,0.2125,-0.0027,0.0173,-78.7037037037037,12.2832369942197,0.01,0.01,0.058838341661628,0.0116235177520882,1.31724106584318e-254
"Neutrophill count",0.0505,0,0.2182,0.01,0.0505,0.5915,0,-0.198019801980198,0.198019801980198,0.2183,0.0095,0.043518094365552,0.01,0.0502,0.0372,-0.594059405940594,-1.38613861386139,0,0.2183,-0.0122,0.0019,-17.8934426229508,114.894736842105,0.01,0.01,0.106258145893181,0.022463932249967,1.08926838139407e-274
"Phosphate",0.0409,0,0.2089,0.001,0.0408,0.1804,-0.244498777506112,-0.733496332518337,0,0.209,0.0154,0.0736842105263158,0.001,0.0411,0.2006,0.488997555012225,-0.244498777506112,1.22249388753056,0.2088,0.003,0.0109,69.6,19.1559633027523,0.001,0.005,0.02514711531796,0.00513082795597093,2.0401569260103e-199
"Platelet count",0.1348,0,0.3455,0.005,0.1349,0.2178,0,0,0.0741839762611276,0.3454,-0.0075,-0.0217139548349739,0.005,0.1347,0.5781,-0.0741839762611276,-0.370919881305638,0.222551928783383,0.3454,0.0143,-0.0026,24.1538461538462,-132.846153846154,0.005,0.1,-0.0212083067374691,-0.00746548113540366,0
"Platelet volume",0.2117,0,0.4639,0.001,0.2118,0.3924,0.0472366556447803,-0.0472366556447803,0.0944733112895607,0.464,0.0155,0.0334051724137931,0.001,0.2114,0.0278,-0.141709966934341,-0.283419933868682,0,0.4639,-0.0103,-0.0056,-45.0388349514563,-82.8392857142857,0.001,0.05,0.0312408975273848,0.00793323983749897,0
"Potassium urine",0.0023,0,0.0575,0.1,0.0023,0.6371,0,0,0,0.0575,-4e-04,-0.00695652173913044,0.1,0.0021,0.2064,-4.34782608695652,-13.0434782608696,4.34782608695652,0.0576,0.0079,0.0057,7.29113924050633,10.1052631578947,0.1,1e-04,-0.00410114105608542,0.00158170264581135,1.49461527199982e-13
"Protein",0.0468,0,0.2274,0.01,0.0468,0.8759,0,0,0,0.2274,-1e-04,-0.000439753737906772,0.01,0.0468,0.9481,0,-0.641025641025641,0.641025641025641,0.2277,-0.0046,-0.0117,-49.5,-19.4615384615385,0.01,0.1,0.0172049806973194,0.0421397720783421,1.07133479188166e-228
"Pulse rate",0.0203,0,0.1547,0.001,0.0203,0.5651,0.492610837438424,-0.985221674876847,1.97044334975369,0.1546,-0.0187,-0.120957309184994,0.001,0.0201,0.5941,-0.492610837438424,-2.46305418719212,1.47783251231527,0.1548,0.0098,0.0078,15.7959183673469,19.8461538461538,0.001,1e-04,0.0224743509546514,0.00692308039921763,1.41879449331581e-54
"RBC",0.0886,0,0.274,0.005,0.0886,0.3312,0,0,0.112866817155756,0.274,0.0064,0.0233576642335766,0.005,0.0884,0.1896,-0.225733634311512,-0.564334085778781,0.112866817155756,0.2738,0.0086,0.0071,31.8372093023256,38.5633802816901,0.005,1e-06,-0.0123988897915466,0.0233142009944204,0
"Rheumatoid factor",2e-04,0.4949,0.0289,0.001,2e-04,0.9893,0,-1200,1150,0.0292,0.1086,3.71917808219178,0.001,4e-04,0.8275,100,-800,1350,0.0294,-0.0299,0.0086,-0.983277591973244,3.41860465116279,0.001,0.05,-0.00227549821058027,0.018117549483076,0.495341020298912
"Right hand grip strength",0.0245,0,0.1216,0.1,0.0244,0.5601,-0.408163265306122,-1.22448979591837,0.816326530612245,0.1217,0.0175,0.14379622021364,0.1,0.0244,0.7129,0,-1.22448979591837,0.816326530612245,0.1216,0.0045,0.0055,27.0222222222222,22.1090909090909,0.1,1e-04,-0.0260607060645394,-0.00232001815688865,7.74478943907919e-136
"SHBG",0.0764,0,0.2696,0.001,0.0766,0.3292,0.261780104712042,-0.261780104712042,0.785340314136126,0.2695,-0.0409,-0.151762523191095,0.001,0.0782,0.0016,2.35602094240838,0.916230366492147,3.79581151832461,0.2523,-0.0053,-0.0455,-47.6037735849057,-5.54505494505495,0.001,1e-06,-0.0966443925080969,-0.390744212321074,0
"SHBG 0",0.1044,0,0.3119,0.001,0.1044,0.2134,0,-0.0957854406130268,0,0.3119,-0.0053,-0.0169926258416159,0.001,0.1044,0.8221,-0.0957854406130268,-0.478927203065134,0.383141762452107,0.3111,0.0137,0.0135,22.7080291970803,23.0444444444444,0.001,1e-08,-0.117692506642548,0.037305250140271,0
"Sodium urine",0.0098,0,0.1073,0.1,0.0099,0.1356,1.02040816326531,0,2.04081632653061,0.1072,-0.0109,-0.101679104477612,0.1,0.01,0.1852,1.02040816326531,-1.02040816326531,4.08163265306122,0.1073,0.0084,0.0029,12.7738095238095,37,0.1,1e-04,0.0193184293067946,-0.00672076330196328,1.13693715038661e-53
"Systolic BP",0.0302,0,0.17,0.05,0.0304,0.4492,0.662251655629139,-1.32450331125828,2.98013245033113,0.1697,-0.0575,-0.338833235120801,0.05,0.0304,0.2326,0.993377483443708,-0.662251655629139,2.31788079470199,0.1697,0.0089,-0.013,19.0674157303371,-13.0538461538462,0.05,0.1,-0.0055839116759778,-0.0456100340718914,1.37586572587297e-160
"Testosterone",0.0251,0,0.0784,1e-04,0.0249,0.3218,-0.796812749003984,-2.39043824701195,0.796812749003984,0.0784,0.0149,0.190051020408163,1e-04,0.0252,0.8621,0.398406374501992,-2.78884462151394,3.18725099601594,0.0739,0.0081,0.0109,9.12345679012346,6.77981651376147,1e-04,1e-10,-0.0454876051565143,0.330924688808436,3.42614337451007e-121
"Testosterone 0",0.018,0,0.0439,1e-04,0.018,0.1462,0,-0.555555555555556,0,0.0439,0.0016,0.0364464692482916,1e-04,0.0177,0.0926,-1.66666666666667,-3.88888888888889,0.555555555555556,0.044,0.0033,-0.004,13.3333333333333,-11,1e-04,0.1,-0.0172568231070486,0.0150388443706506,2.85638582029484e-87
"Triglycerides",0.0548,0,0.2526,0.005,0.0548,0.6195,0,-0.364963503649635,0.182481751824818,0.2527,0.0189,0.074792243767313,0.005,0.0549,0.8523,0.182481751824818,-1.0948905109489,1.27737226277372,0.2514,0.018,0.0206,13.9666666666667,12.2038834951456,0.005,1e-08,0.0397793097170021,0.0476492276374296,2.04503879556677e-293
"Urate",0.0861,0,0.2585,0.005,0.0861,0.8975,0,0,0,0.2585,-0.0029,-0.0112185686653772,0.005,0.0863,0.4568,0.232288037166086,-0.348432055749129,0.696864111498258,0.2574,0.0078,-0.0133,33,-19.3533834586466,0.005,1e-06,0.0667019858556269,-0.110329403821667,0
"Urea",0.0246,0,0.1575,0.005,0.0246,0.9229,0,0,0,0.1575,0.0023,0.0146031746031746,0.005,0.0242,0.0618,-1.6260162601626,-3.65853658536585,0,0.1578,-0.0147,-0.0018,-10.734693877551,-87.6666666666667,0.005,1e-04,0.0531411053645286,0.0508517709581245,1.22984918414283e-130
"Vitamin D",0.0345,0,0.1966,0.001,0.0345,0.3184,0,0,0.289855072463768,0.1967,-0.0089,-0.045246568378241,0.001,0.0343,0.0662,-0.579710144927536,-1.44927536231884,0,0.1966,-0.0085,0.0043,-23.1294117647059,45.7209302325581,0.001,1e-04,-0.0107847303640342,0.00905154374408856,3.9451625359018e-176
"Waist circumference",0.0545,0,0.2194,0.1,0.0547,0.0398,0.36697247706422,0,0.73394495412844,0.2195,0.0165,0.0751708428246014,0.1,0.0545,0.5175,0.18348623853211,-0.36697247706422,0.55045871559633,0.2192,0.0079,0.0057,27.746835443038,38.4561403508772,0.1,1e-06,0.14893543646832,0.0333280740909171,9.89370518471205e-305
"Whole body fat mass",0.0687,0,0.2688,0.1,0.0688,0.199,0.145560407569141,0,0.291120815138282,0.2688,0.0116,0.0431547619047619,0.1,0.0686,0.4406,-0.145560407569141,-0.291120815138282,0.145560407569141,0.2688,0.0045,-0.005,59.7333333333333,-53.76,0.1,0.005,0.143079472387217,0.0098377396048666,0
"WHR adj BMI",0.0377,0,0.1493,0.005,0.0376,0.5531,0,-0.530503978779841,0.26525198938992,0.1492,-0.009,-0.0603217158176944,0.005,0.0376,0.8223,0,-0.795755968169761,0.795755968169761,0.1494,0.009,7e-04,16.6,213.428571428571,0.005,0.05,0.0631509490341691,-0.0139901541119611,3.40391861345345e-209
