"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Rheumatoid factor",1e-04,0.9103,0.0335,0.001,6e-04,0.7851,500,-4700,8800,0.0327,-0.0064,-0.195718654434251,0.001,1e-04,0.9813,0,-100,100,0.0336,-0.0114,0.0326,-2.94736842105263,1.03067484662577,0.001,1e-06
"Right hand grip strength",0.0084,0,0.1205,0.1,0.0086,0.1864,3.57142857142857,-1.19047619047619,8.33333333333333,0.1208,0.0082,0.0678807947019868,0.1,0.008,0.3238,-4.76190476190476,-14.2857142857143,4.76190476190476,0.1206,0.008,-0.0124,15.075,-9.7258064516129,0.1,0.5
"SHBG",0.0499,0,0.2735,0.001,0.0498,0.0846,-0.200400801603206,-0.400801603206413,0,0.2736,0.0018,0.00657894736842105,0.001,0.05,0.9827,0,-2.60521042084168,2.60521042084168,0.2733,0.0133,5e-04,20.5488721804511,546.6,0.001,1e-06
"SHBG 0",0.0606,0,0.3149,0.001,0.0605,0.3682,-0.165016501650165,-0.66006600660066,0.33003300330033,0.315,0.0052,0.0165079365079365,0.001,0.0608,0.8869,0.165016501650165,-3.13531353135314,3.63036303630363,0.3145,0.0204,0.0036,15.4166666666667,87.3611111111111,0.001,1e-06
"Sodium urine",0.0023,0.0189,0.1077,0.1,0.0022,0.193,-4.34782608695652,-13.0434782608696,4.34782608695652,0.1078,0.0059,0.0547309833024119,0.1,0.0024,0.7287,4.34782608695652,-17.3913043478261,26.0869565217391,0.1074,4e-04,0.0128,268.5,8.390625,0.1,0.001
"Systolic BP",0.0211,0,0.1641,0.05,0.0211,0.9955,0,-1.4218009478673,1.4218009478673,0.1643,0.0046,0.0279975654290931,0.05,0.0213,0.7603,0.947867298578199,-4.739336492891,6.63507109004739,0.164,-1e-04,-0.0182,-1640,-9.01098901098901,0.05,1e-04
"Testosterone",0.0193,0,0.0792,1e-04,0.0188,0.202,-2.59067357512953,-7.25388601036269,1.55440414507772,0.0791,-0.0062,-0.0783817951959545,1e-04,0.0194,0.8375,0.518134715025907,-3.62694300518135,4.14507772020725,0.0792,0.002,-0.0053,39.6,-14.9433962264151,1e-04,0.1
"Testosterone 0",0.0091,0,0.0435,1e-04,0.0093,0.0982,1.0989010989011,0,3.2967032967033,0.0435,0.001,0.0229885057471264,1e-04,0.0091,0.7725,0,-2.1978021978022,1.0989010989011,0.0425,0.004,0.0016,10.625,26.5625,1e-04,1e-10
"Triglycerides",0.035,0,0.2545,0.005,0.035,0.4502,-0.285714285714286,-0.857142857142857,0.285714285714286,0.2546,0.0034,0.0133542812254517,0.005,0.0351,0.2798,0.285714285714286,0,0.571428571428571,0.2544,0.0079,-0.0113,32.2025316455696,-22.5132743362832,0.005,1e-06
"Urate",0.0318,0,0.2623,0.005,0.0318,0.8787,0,-1.25786163522013,0.943396226415094,0.262,-0.0073,-0.0278625954198473,0.005,0.0309,0.0726,-2.83018867924528,-6.28930817610063,0.314465408805031,0.2624,0.0109,0.0018,24.0733944954128,145.777777777778,0.005,0.005
"Urea",0.0139,0,0.1568,0.001,0.0138,0.9297,0,-5.75539568345324,6.47482014388489,0.1564,-0.0135,-0.0863171355498721,0.001,0.014,0.5161,1.43884892086331,-2.87769784172662,5.03597122302158,0.1563,7e-04,-0.0253,223.285714285714,-6.17786561264822,0.001,1e-08
"Vitamin D",0.0022,0.0248,0.1972,0.001,0.0022,0.3446,0,-4.54545454545455,0,0.197,-0.004,-0.0203045685279188,0.001,0.0022,0.9251,0,-22.7272727272727,22.7272727272727,0.1867,-0.0077,-0.0217,-24.2467532467532,-8.6036866359447,0.001,1e-06
"Waist circumference",0.0128,0,0.2278,0.05,0.0127,0.5301,-0.78125,-3.90625,1.5625,0.2281,0.0107,0.0469092503288032,0.05,0.0115,0.0118,-10.15625,-19.53125,-2.34375,0.2277,0.0171,-0.0079,13.3157894736842,-28.8227848101266,0.05,0.1
"Whole body fat mass",0.0222,0,0.2757,0.1,0.022,0.6933,-0.45045045045045,-2.7027027027027,1.8018018018018,0.2759,0.0142,0.0514679231605654,0.1,0.0214,0.2118,-3.6036036036036,-9.45945945945946,1.8018018018018,0.2748,0.0189,-0.0053,14.5396825396825,-51.8490566037736,0.1,0.05
"WHR adj BMI",0.0109,0,0.1508,0.01,0.0108,0.5457,-0.91743119266055,-2.75229357798165,0.91743119266055,0.1508,0.0047,0.0311671087533157,0.01,0.0114,0.1924,4.58715596330275,-2.75229357798165,12.8440366972477,0.1508,0.0087,0.0072,17.3333333333333,20.9444444444444,0.01,0.01
