"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","PGS_pv_ols"
"BMD Heel T-score",0.0892,0,0.2967,1e-04,0.0894,0.292,0.224215246636771,-0.224215246636771,0.560538116591928,0.2964,-0.011,-0.0371120107962213,1e-04,0.0888,0.1932,-0.336322869955157,-1.00896860986547,0.224215246636771,0.2944,0.002,-0.0161,147.2,-18.2857142857143,1e-04,1e-06,0.128822350782135,1.28951889449799e-251
"Height",0.2406,0,0.3432,0.01,0.2407,0.6779,0,-0.0415627597672485,0.0831255195344971,0.3433,0.0057,0.0166035537430819,0.01,0.2405,0.2108,-0.0415627597672485,-0.166251039068994,0.0415627597672485,0.3432,0.0033,0.0065,104,52.8,0.01,1e-04,0.142469135610574,0
"Height 0",0.239,0,0.3427,0.01,0.239,0.8767,0,-0.0418410041841004,0.0418410041841004,0.3427,0.003,0.00875401225561716,0.01,0.2389,0.1016,-0.0418410041841004,-0.125523012552301,0,0.3427,-8e-04,0.005,-428.375,68.54,0.01,0.01,0.142369156514124,0
"Hip circumference",0.0634,0,0.2704,0.1,0.0635,0.4268,0.157728706624606,-0.315457413249211,0.630914826498423,0.2708,0.0141,0.0520679468242245,0.1,0.0634,0.8817,0,-0.630914826498423,0.473186119873817,0.2702,0.0112,-0.0063,24.125,-42.8888888888889,0.1,0.5,-0.0323796049163425,0
"IGF-1",0.085,0,0.2973,0.01,0.0849,0.7033,0,-0.117647058823529,0.117647058823529,0.2974,0.0051,0.0171486213853396,0.01,0.0852,0.0992,0.235294117647059,0,0.588235294117647,0.2975,-0.0097,-0.002,-30.6701030927835,-148.75,0.01,0.001,0.23531191707177,0
"LDL",0.0826,0,0.2772,1e-04,0.0834,0.1326,0.968523002421308,-0.36319612590799,2.17917675544794,0.2787,0.0451,0.161822748475063,1e-04,0.0897,2e-04,8.5956416464891,5.69007263922518,11.3801452784504,0.2187,0.0911,0.0599,2.4006586169045,3.65108514190317,1e-04,1e-08,-0.0427410104623349,0
"LDL 0",0.0793,0,0.2709,1e-04,0.0801,0.1524,1.00882723833544,-0.504413619167718,2.52206809583859,0.2727,0.0499,0.182984965163183,1e-04,0.0874,2e-04,10.2143757881463,7.06179066834805,13.3669609079445,0.2068,0.0985,0.0588,2.0994923857868,3.51700680272109,1e-04,1e-10,-0.0315660653448184,0
"Leukocyte count",0.0491,0,0.2182,0.1,0.0491,0.5841,0.203665987780041,-0.407331975560081,0.610997963340122,0.2185,0.0095,0.0434782608695652,0.1,0.0493,0.1302,0.610997963340122,-0.203665987780041,1.22199592668024,0.2188,0.0089,0.0106,24.5842696629213,20.6415094339623,0.1,0.1,-0.0216435821814955,6.45460243187289e-267
"Lipoprotein a",0.3743,0,0.6928,1e-10,0.3745,0.0684,0.0267165375367352,0,0.0801496126102057,0.6929,-0.0079,-0.0114013566171165,1e-10,0.3857,2e-04,3.01896874165108,1.73657493988779,4.27464600587764,0.6037,-0.1054,-0.1524,-5.72770398481974,-3.96128608923885,1e-10,1e-10,-0.0150214421521508,0
"Lipoprotein a 0",0.3317,0,0.6586,1e-08,0.3317,0.9945,0,-0.0301477238468496,0.0301477238468496,0.6586,0.0045,0.00683267537200121,1e-08,0.332,0.47,0.0904431715405487,-0.150738619234248,0.301477238468496,0.6563,0.0241,0.0201,27.2323651452282,32.6517412935323,1e-08,1e-04,-0.0287698550772612,0
"Lymphocyte count",0.0206,0,0.1296,0.05,0.0206,0.1744,0,-0.485436893203884,0,0.1296,0.0021,0.0162037037037037,0.05,0.0206,0.9399,0,-2.9126213592233,3.39805825242718,0.1353,0.0174,0.0197,7.77586206896552,6.86802030456853,0.05,0.05,-0.0178493113225959,1.95216934956482e-111
"Mean corpuscular volume",0.0914,0,0.3374,0.01,0.0914,0.2186,0,0,0.109409190371991,0.3373,-0.0025,-0.00741179958493922,0.01,0.0914,0.9919,0,-0.437636761487965,0.437636761487965,0.3375,0.0156,-0.0027,21.6346153846154,-125,0.01,0.05,-0.0682979966514094,0
"Monocyte count",0.0474,0,0.2133,0.005,0.0474,0.3104,0,0,0.210970464135021,0.2133,-0.0029,-0.013595874355368,0.005,0.0469,0.1214,-1.05485232067511,-2.32067510548523,0.210970464135021,0.2142,-0.0038,-0.0236,-56.3684210526316,-9.07627118644068,0.005,0.5,-0.056802188886882,2.61633425118636e-257
"Neutrophil count",0.0504,0,0.2174,0.01,0.0505,0.1656,0.198412698412698,-0.198412698412698,0.595238095238095,0.2175,0.0078,0.0358620689655172,0.01,0.0502,0.175,-0.396825396825397,-1.19047619047619,0.198412698412698,0.2174,0.0085,-0.0099,25.5764705882353,-21.959595959596,0.01,0.01,-0.00931206142347288,5.97965728326217e-274
"Phosphate",0.0408,0,0.2083,0.001,0.0407,0.398,0,-0.245098039215686,0.245098039215686,0.2082,-0.0045,-0.0216138328530259,0.001,0.0408,0.9411,0,-0.980392156862745,1.22549019607843,0.2081,0.013,-0.0108,16.0076923076923,-19.2685185185185,0.001,0.005,-0.0198886923081338,6.93586671401622e-199
"Platelet count",0.1346,0,0.3438,0.005,0.1349,0.0594,0.222882615156018,0,0.445765230312036,0.3441,0.0136,0.039523394362104,0.005,0.1343,0.1006,-0.222882615156018,-0.445765230312036,0.074294205052006,0.3443,-1e-04,-0.0138,-3443,-24.9492753623188,0.005,0.5,0.0466052524853992,0
"Platelet volume",0.2118,0,0.4643,0.001,0.2117,0.213,0,-0.0472143531633617,0,0.4644,0.0033,0.00710594315245478,0.001,0.2115,0.0366,-0.141643059490085,-0.28328611898017,0,0.4643,-0.0049,-0.0109,-94.7551020408163,-42.5963302752294,0.001,0.005,0.0164640010095117,0
