"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Neutrophil count",0.0052,0,0.2179,0.01,0.0052,0.1018,0,-1.92307692307692,0,0.218,-0.0038,-0.0174311926605505,0.01,0.0053,0.222,1.92307692307692,0,3.84615384615385,0.2179,-0.0097,5e-04,-22.4639175257732,435.8,0.01,1e-04
"Phosphate",0.0075,0,0.2081,0.001,0.0077,0.3878,2.66666666666667,-2.66666666666667,6.66666666666667,0.208,0.0176,0.0846153846153846,0.001,0.0071,0.0244,-5.33333333333333,-10.6666666666667,-1.33333333333333,0.2101,-0.0126,-0.0089,-16.6746031746032,-23.6067415730337,0.001,0.001
"Platelet count",0.0262,0,0.3447,0.005,0.0264,0.2252,0.763358778625954,-0.381679389312977,1.90839694656489,0.345,-0.0166,-0.0481159420289855,0.005,0.0259,0.6075,-1.14503816793893,-4.58015267175572,2.67175572519084,0.3434,-0.0159,-0.0268,-21.5974842767296,-12.8134328358209,0.005,1e-06
"Platelet volume",0.0573,0,0.4643,0.001,0.0574,0.002,0.174520069808028,0,0.349040139616056,0.4644,-0.0036,-0.00775193798449612,0.001,0.0562,0.3382,-1.91972076788831,-6.10820244328098,2.09424083769634,0.452,-0.0333,-0.0594,-13.5735735735736,-7.60942760942761,0.001,1e-06
"Potassium urine",1e-04,0.3804,0.0573,0.1,1e-04,0.4702,0,0,0,0.0573,-0.0012,-0.0209424083769633,0.1,0,0.5881,-100,-500,300,0.0573,0.0127,-0.0131,4.51181102362205,-4.37404580152672,0.1,0.05
"Protein",0.0093,0,0.2288,0.01,0.0093,0.6717,0,0,0,0.2288,0,0,0.01,0.0079,0.0262,-16.1290322580645,-31.1827956989247,-2.1505376344086,0.2387,-0.0225,-0.0359,-10.6088888888889,-6.64902506963788,0.01,1e-06
"Pulse rate",0.0025,8e-04,0.157,0.001,0.0025,0.3334,0,-4,0,0.1569,0.0039,0.0248565965583174,0.001,0.0025,0.9771,0,-20,20,0.1565,0.0214,0.0045,7.31308411214953,34.7777777777778,0.001,0.1
"RBC",0.0109,0,0.2739,0.005,0.0112,0.028,2.75229357798165,0,5.5045871559633,0.2737,0.0152,0.0555352575812934,0.005,0.011,0.6901,0.91743119266055,-2.75229357798165,4.58715596330275,0.2739,0.015,-0.0037,18.26,-74.027027027027,0.005,1e-04
"Rheumatoid factor",4e-04,0.644,0.032,0.001,6e-04,0.9611,50,-975,750,0.033,0.0143,0.433333333333333,0.001,4e-04,0.7191,0,0,0,0.0314,-0.0221,0.0114,-1.42081447963801,2.75438596491228,0.001,1e-06
"Right hand grip strength",0.0016,5e-04,0.1213,0.1,0.0016,0.7727,-6.25,-25,25,0.1211,0.0238,0.196531791907514,0.1,0.0015,0.2446,-12.5,-37.5,6.25,0.1252,0.0085,-0.0208,14.7294117647059,-6.01923076923077,0.1,0.5
