"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Hip circumference",0.0094,0,0.2655,0.1,0.0094,0.1614,1.06382978723404,0,2.12765957446809,0.2656,0.0152,0.0572289156626506,0.1,0.0095,0.3792,1.06382978723404,-1.06382978723404,3.19148936170213,0.2661,0.0032,-0.0119,83.15625,-22.3613445378151,0.1,0.5
"IGF-1",0.0148,0,0.2998,0.01,0.0149,0.172,0.675675675675676,0,0.675675675675676,0.2998,0.0095,0.0316877918612408,0.01,0.0149,0.5173,0.675675675675676,-0.675675675675676,2.02702702702703,0.3001,0.0031,-0.0084,96.8064516129032,-35.7261904761905,0.01,0.5
"LDL",0.0762,0,0.3458,0.001,0.0767,0.6267,0.656167979002625,-1.83727034120735,2.88713910761155,0.3447,-0.1167,-0.338555265448216,0.001,0.0985,2e-04,29.1338582677165,23.0971128608924,35.5643044619423,0.3056,-0.0029,-0.0943,-105.379310344828,-3.2407211028632,0.001,1e-10
"LDL 0",0.0918,0,0.3418,1e-04,0.092,0.7111,0.108932461873638,-0.65359477124183,0.980392156862745,0.3413,-0.0409,-0.119835921476707,1e-04,0.0941,0.023,2.50544662309368,0.326797385620915,4.57516339869281,0.3334,0.0016,-0.039,208.375,-8.54871794871795,1e-04,1e-06
"Leukocyte count",0.0045,0,0.2125,0.1,0.0046,0.0788,2.22222222222222,0,4.44444444444445,0.2126,0.0116,0.0545625587958608,0.1,0.0044,0.2124,-2.22222222222222,-6.66666666666667,2.22222222222222,0.2125,0.008,-0.0025,26.5625,-85,0.1,1e-04
"Lipoprotein a",0.0165,0,0.6918,1e-10,0.0165,0.9179,0,-0.606060606060606,0.606060606060606,0.692,0.0259,0.0374277456647399,1e-10,0.0179,0.274,8.48484848484848,-6.66666666666667,23.6363636363636,0.3933,0.1887,0.3447,2.08426073131955,1.14099216710183,1e-10,1e-10
"Lipoprotein a 0",0.0139,0,0.6579,1e-08,0.0139,0.8779,0,0,0,0.6579,0.0064,0.00972792217662259,1e-08,0.0138,0.341,-0.719424460431655,-1.43884892086331,0.719424460431655,0.6579,-0.0026,0.0075,-253.038461538462,87.72,1e-08,0.001
"Lymphocyte count",0.0034,0,0.1275,0.05,0.0033,0.1622,-2.94117647058824,-5.88235294117647,0,0.1275,0.0141,0.110588235294118,0.05,0.0035,0.5781,2.94117647058824,-8.8235294117647,14.7058823529412,0.1281,-0.0067,-0.014,-19.1194029850746,-9.15,0.05,0.005
"Mean corpuscular volume",0.012,0,0.3375,0.01,0.012,0.111,0,0,0.833333333333333,0.3375,0.0083,0.0245925925925926,0.01,0.012,0.5609,0,-0.833333333333333,1.66666666666667,0.3375,-0.0025,-0.0071,-135,-47.5352112676056,0.01,0.001
"Monocyte count",0.0118,0,0.2125,0.01,0.0119,0.121,0.847457627118644,0,2.54237288135593,0.2126,0.0159,0.074788334901223,0.01,0.0112,0.0302,-5.08474576271186,-9.32203389830508,-0.847457627118644,0.2125,-0.0027,0.0173,-78.7037037037037,12.2832369942197,0.01,0.01
"Neutrophill count",0.0066,0,0.2182,0.01,0.0067,0.1426,1.51515151515152,0,1.51515151515152,0.2183,0.0095,0.043518094365552,0.01,0.0067,0.5201,1.51515151515152,-3.03030303030303,6.06060606060606,0.2183,-0.0122,0.0019,-17.8934426229508,114.894736842105,0.01,0.01
"Phosphate",0.0071,0,0.2089,0.001,0.007,0.1608,-1.40845070422535,-2.8169014084507,0,0.209,0.0154,0.0736842105263158,0.001,0.007,0.6029,-1.40845070422535,-4.22535211267606,2.8169014084507,0.2088,0.003,0.0109,69.6,19.1559633027523,0.001,0.005
"Platelet count",0.0275,0,0.3455,0.005,0.0274,0.5855,0,-0.363636363636364,0,0.3454,-0.0075,-0.0217139548349739,0.005,0.0273,0.3214,-0.727272727272727,-2.18181818181818,0.727272727272727,0.3454,0.0143,-0.0026,24.1538461538462,-132.846153846154,0.005,0.1
"Platelet volume",0.0564,0,0.4639,0.001,0.0564,0.9671,0,-0.177304964539007,0.177304964539007,0.464,0.0155,0.0334051724137931,0.001,0.0562,0.2478,-0.354609929078014,-1.06382978723404,0.354609929078014,0.4639,-0.0103,-0.0056,-45.0388349514563,-82.8392857142857,0.001,0.05
"Potassium urine",1e-04,0.3125,0.0575,0.1,1e-04,0.8681,0,0,0,0.0575,-4e-04,-0.00695652173913044,0.1,1e-04,0.5863,0,-200,100,0.0576,0.0079,0.0057,7.29113924050633,10.1052631578947,0.1,1e-04
"Protein",0.0091,0,0.2274,0.01,0.0091,0.6943,0,0,0,0.2274,-1e-04,-0.000439753737906772,0.01,0.0091,0.9743,0,-3.2967032967033,3.2967032967033,0.2277,-0.0046,-0.0117,-49.5,-19.4615384615385,0.01,0.1
"Pulse rate",0.0029,4e-04,0.1547,0.001,0.0028,0.2778,-3.44827586206897,-10.3448275862069,3.44827586206897,0.1546,-0.0187,-0.120957309184994,0.001,0.0027,0.191,-6.89655172413793,-17.2413793103448,3.44827586206897,0.1548,0.0098,0.0078,15.7959183673469,19.8461538461538,0.001,1e-04
"RBC",0.0106,0,0.274,0.005,0.0107,0.3818,0,0,0.943396226415094,0.274,0.0064,0.0233576642335766,0.005,0.0108,0.4492,0.943396226415094,-1.88679245283019,3.77358490566038,0.2738,0.0086,0.0071,31.8372093023256,38.5633802816901,0.005,1e-06
"Rheumatoid factor",6e-04,0.5708,0.0289,0.001,0,0.7335,-100,-1783.33333333333,716.666666666667,0.0292,0.1086,3.71917808219178,0.001,0,0.7883,-100,-1300,683.333333333333,0.0294,-0.0299,0.0086,-0.983277591973244,3.41860465116279,0.001,0.05
"Right hand grip strength",0.0022,1e-04,0.1216,0.1,0.0022,0.5729,0,-4.54545454545455,9.09090909090909,0.1217,0.0175,0.14379622021364,0.1,0.0022,0.6691,0,-4.54545454545455,9.09090909090909,0.1216,0.0045,0.0055,27.0222222222222,22.1090909090909,0.1,1e-04
"SHBG",0.0262,0,0.2696,0.001,0.0263,0.7881,0.381679389312977,-1.52671755725191,1.90839694656489,0.2695,-0.0409,-0.151762523191095,0.001,0.0275,0.0984,4.9618320610687,-0.763358778625954,11.0687022900763,0.2523,-0.0053,-0.0455,-47.6037735849057,-5.54505494505495,0.001,1e-06
"SHBG 0",0.0335,0,0.3119,0.001,0.0335,0.0728,-0.298507462686567,-0.298507462686567,0,0.3119,-0.0053,-0.0169926258416159,0.001,0.0334,0.7047,-0.298507462686567,-2.08955223880597,1.49253731343284,0.3111,0.0137,0.0135,22.7080291970803,23.0444444444444,0.001,1e-08
"Sodium urine",1e-04,0.389,0.1073,0.1,1e-04,0.4702,0,0,100,0.1072,-0.0109,-0.101679104477612,0.1,1e-04,0.8399,0,-100,100,0.1073,0.0084,0.0029,12.7738095238095,37,0.1,1e-04
"Systolic BP",0.0028,0,0.17,0.05,0.0026,0.2172,-7.14285714285714,-21.4285714285714,3.57142857142857,0.1697,-0.0575,-0.338833235120801,0.05,0.0027,0.5323,-3.57142857142857,-10.7142857142857,7.14285714285714,0.1697,0.0089,-0.013,19.0674157303371,-13.0538461538462,0.05,0.1
"Testosterone",0.0058,0,0.0784,1e-04,0.0058,0.8679,0,-5.17241379310345,5.17241379310345,0.0784,0.0149,0.190051020408163,1e-04,0.0058,0.7959,-1.72413793103448,-8.62068965517241,6.89655172413793,0.0739,0.0081,0.0109,9.12345679012346,6.77981651376147,1e-04,1e-10
"Testosterone 0",0.0046,0,0.0439,1e-04,0.0046,0.6545,0,0,2.17391304347826,0.0439,0.0016,0.0364464692482916,1e-04,0.0049,0.1688,6.52173913043478,-2.17391304347826,17.3913043478261,0.044,0.0033,-0.004,13.3333333333333,-11,1e-04,0.1
"Triglycerides",0.0116,0,0.2526,0.005,0.0114,0.0212,-1.72413793103448,-2.58620689655172,0,0.2527,0.0189,0.074792243767313,0.005,0.0115,0.7363,-0.862068965517242,-6.03448275862069,4.31034482758621,0.2514,0.018,0.0206,13.9666666666667,12.2038834951456,0.005,1e-08
"Urate",0.0217,0,0.2585,0.005,0.0217,0.8615,0,0,0,0.2585,-0.0029,-0.0112185686653772,0.005,0.0216,0.8029,-0.460829493087558,-3.68663594470046,2.76497695852535,0.2574,0.0078,-0.0133,33,-19.3533834586466,0.005,1e-06
"Urea",0.0032,0,0.1575,0.005,0.0032,0.8873,0,0,0,0.1575,0.0023,0.0146031746031746,0.005,0.0029,0.1142,-9.375,-18.75,3.125,0.1578,-0.0147,-0.0018,-10.734693877551,-87.6666666666667,0.005,1e-04
"Vitamin D",0.0018,5e-04,0.1966,0.001,0.0018,0.6949,0,0,5.55555555555556,0.1967,-0.0089,-0.045246568378241,0.001,0.0019,0.0398,5.55555555555556,0,11.1111111111111,0.1966,-0.0085,0.0043,-23.1294117647059,45.7209302325581,0.001,1e-04
"Waist circumference",0.0057,0,0.2194,0.1,0.0059,0.006,3.50877192982456,0,5.26315789473684,0.2195,0.0165,0.0751708428246014,0.1,0.0057,0.8835,0,-3.50877192982456,3.50877192982456,0.2192,0.0079,0.0057,27.746835443038,38.4561403508772,0.1,1e-06
"Whole body fat mass",0.0097,0,0.2688,0.1,0.0097,0.394,0,0,1.03092783505155,0.2688,0.0116,0.0431547619047619,0.1,0.0098,0.1596,1.03092783505155,0,3.09278350515464,0.2688,0.0045,-0.005,59.7333333333333,-53.76,0.1,0.005
"WHR adj BMI",0.0065,0,0.1493,0.005,0.0065,0.8459,0,-1.53846153846154,1.53846153846154,0.1492,-0.009,-0.0603217158176944,0.005,0.0066,0.5507,1.53846153846154,-3.07692307692308,6.15384615384615,0.1494,0.009,7e-04,16.6,213.428571428571,0.005,0.05
