"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","pgs_gxc_cor","PGS_pv_ols"
"HDL",0.1076,0,0.2961,0.01,0.1085,0.0316,0.836431226765799,0.0929368029739777,1.57992565055762,0.2969,-0.0325,-0.109464466150219,0.01,0.1183,2e-04,10.0371747211896,7.52788104089219,12.546468401487,0.2758,-0.0332,-0.0865,-8.30722891566265,-3.18843930635838,0.01,1e-06,-0.422077998760936,-0.216612776621084,0
"HDL 0",0.1121,0,0.3048,0.01,0.1121,0.8191,0,-0.0892060660124889,0.0892060660124889,0.3047,0.0037,0.0121430915654742,0.01,0.113,0.0146,0.892060660124888,0.178412132024978,1.51650312221231,0.3034,-0.0029,-0.0267,-104.620689655172,-11.3632958801498,0.01,1e-06,-0.439821621332311,-0.0611059863891718,0
"BMD Heel T-score",0.0901,0,0.2962,1e-04,0.0906,0.081,0.554938956714761,-0.110987791342952,1.22086570477248,0.2963,0.017,0.0573742828214647,1e-04,0.0906,0.3532,0.665926748057714,-0.665926748057714,1.99778024417314,0.295,0.0259,-8e-04,11.3899613899614,-368.75,1e-04,0.5,0.177100779843433,0.0571535226404035,2.47868236941256e-254
"Height",0.2427,0,0.3437,0.01,0.2429,0.368,0.0824062628759786,-0.123609394313968,0.288421920065925,0.3435,0.0156,0.045414847161572,0.01,0.2425,0.302,-0.123609394313968,-0.329625051503914,0.0824062628759786,0.3427,0.0155,-0.001,22.1096774193548,-342.7,0.01,0.5,0.697207473330653,0.100427135796806,0
"Height 0",0.2406,0,0.3438,0.01,0.2406,0.2828,0,0,0,0.3438,3e-04,0.00087260034904014,0.01,0.2404,0.404,-0.0831255195344971,-0.249376558603491,0.0831255195344971,0.3438,0.0138,7e-04,24.9130434782609,491.142857142857,0.01,0.5,0.695147906539915,-0.0367290874058294,0
"Hip circumference",0.0634,0,0.2706,0.1,0.0655,6e-04,3.31230283911672,1.57728706624606,5.04731861198738,0.2712,-0.0555,-0.204646017699115,0.1,0.0644,0.002,1.57728706624606,0.630914826498423,2.52365930599369,0.2774,0.0319,-0.0048,8.69592476489028,-57.7916666666667,0.1,0.5,0.0451790146439956,-0.386033494018128,0
"IGF-1",0.0892,0,0.3005,0.01,0.0892,0.9547,0,0,0,0.3005,0.0017,0.00565723793677205,0.01,0.0893,0.9157,0,-0.672645739910314,0.7847533632287,0.3004,0.0181,-0.0182,16.5966850828729,-16.5054945054945,0.01,0.5,0.0729404945177247,0.0618727907549963,0
"LDL",0.0826,0,0.277,1e-04,0.0834,0.0268,0.968523002421308,0.121065375302663,1.69491525423729,0.277,-0.0297,-0.107220216606498,1e-04,0.0857,2e-04,3.75302663438257,1.93704600484262,5.56900726392252,0.2522,-0.0178,-0.0614,-14.1685393258427,-4.10749185667752,1e-04,1e-10,-0.0533441964597334,-0.382183199745184,0
"LDL 0",0.0796,0,0.2708,1e-04,0.0802,0.0728,0.753768844221105,-0.125628140703518,1.50753768844221,0.2708,-0.0252,-0.0930576070901034,1e-04,0.0828,2e-04,4.02010050251256,2.26130653266332,5.90452261306533,0.2455,-0.0206,-0.0584,-11.9174757281553,-4.20376712328767,1e-04,1e-10,-0.0584080179837326,-0.393253698372821,0
"Leukocyte count",0.0491,0,0.2183,0.1,0.0491,0.5959,0,0,0,0.2183,-5e-04,-0.00229042601923958,0.1,0.0494,0.0956,0.610997963340122,-0.203665987780041,1.22199592668024,0.2199,-0.0064,-0.012,-34.359375,-18.325,0.1,0.5,0.0329314185422466,0.136742706928108,3.30529176225748e-267
