"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Height",0.0861,0,0.3437,0.01,0.085,0.0124,-1.27758420441347,-2.32288037166086,-0.232288037166086,0.3435,0.0156,0.045414847161572,0.01,0.0862,0.8809,0.116144018583043,-1.16144018583043,1.27758420441347,0.3427,0.0155,-0.001,22.1096774193548,-342.7,0.01,0.5
"Height 0",0.0837,0,0.3438,0.01,0.0836,0.007,0,0,0,0.3438,3e-04,0.00087260034904014,0.01,0.0835,0.6759,-0.2389486260454,-1.3142174432497,0.836320191158901,0.3438,0.0138,7e-04,24.9130434782609,491.142857142857,0.01,0.5
"Hip circumference",0.015,0,0.2706,0.1,0.0149,0.8037,-1.33333333333333,-11.3333333333333,9.33333333333333,0.2712,-0.0555,-0.204646017699115,0.1,0.0149,0.8095,-0.666666666666667,-6.66666666666667,5.33333333333333,0.2774,0.0319,-0.0048,8.69592476489028,-57.7916666666667,0.1,0.5
"IGF-1",0.0436,0,0.3005,0.01,0.0435,0.0146,-0.229357798165138,-0.458715596330275,0,0.3005,0.0017,0.00565723793677205,0.01,0.0418,0.0146,-4.12844036697248,-7.3394495412844,-0.688073394495413,0.3004,0.0181,-0.0182,16.5966850828729,-16.5054945054945,0.01,0.5
"LDL",0.0347,0,0.277,1e-04,0.0348,0.9521,0,-4.03458213256484,4.03458213256484,0.277,-0.0297,-0.107220216606498,1e-04,0.0505,2e-04,45.5331412103746,27.6657060518732,65.1296829971181,0.2522,-0.0178,-0.0614,-14.1685393258427,-4.10749185667752,1e-04,1e-10
"LDL 0",0.0376,0,0.2708,1e-04,0.0374,0.7665,-0.531914893617021,-4.25531914893617,2.92553191489362,0.2708,-0.0252,-0.0930576070901034,1e-04,0.0549,2e-04,46.0106382978723,27.1276595744681,66.7553191489362,0.2455,-0.0206,-0.0584,-11.9174757281553,-4.20376712328767,1e-04,1e-10
"Leukocyte count",0.0236,0,0.2183,0.1,0.0236,0.4942,0,0,0,0.2183,-5e-04,-0.00229042601923958,0.1,0.0238,0.7207,0.847457627118644,-2.96610169491525,4.23728813559322,0.2199,-0.0064,-0.012,-34.359375,-18.325,0.1,0.5
"Lipoprotein a",0.0225,0,0.693,1e-10,0.0226,0.6639,0,-0.444444444444444,0.888888888888889,0.693,-0.0093,-0.0134199134199134,1e-10,0.0453,2e-04,101.333333333333,71.1111111111111,136.888888888889,0.6571,-0.0898,-0.1352,-7.3173719376392,-4.86020710059172,1e-10,1e-10
"Lipoprotein a 0",0.0476,0,0.6588,1e-08,0.0476,0.7315,0,-0.210084033613445,0.420168067226891,0.6588,0.0065,0.00986642380085003,1e-08,0.0482,0.5067,1.26050420168067,-2.52100840336134,5.25210084033613,0.6651,-0.0082,-0.0293,-81.109756097561,-22.6996587030717,1e-08,1e-08
"Lymphocyte count",0.0087,0,0.1294,0.05,0.0089,0.3596,2.29885057471264,-2.29885057471264,8.04597701149425,0.1295,-0.0089,-0.0687258687258687,0.05,0.0107,0.0818,21.8390804597701,-2.29885057471264,49.4252873563218,0.1397,-0.0229,-0.0256,-6.10043668122271,-5.45703125,0.05,0.1
"Mean corpuscular volume",0.0253,0,0.3375,0.01,0.0253,0.3862,-0.395256916996047,-0.790513833992095,0.395256916996047,0.3375,0.0047,0.0139259259259259,0.01,0.0251,0.1958,-1.18577075098814,-2.76679841897233,0.395256916996047,0.3377,0.0104,0.0027,32.4711538461538,125.074074074074,0.01,0.5
"Monocyte count",0.0206,0,0.2124,0.005,0.0204,0.6931,-0.970873786407767,-6.31067961165049,4.36893203883495,0.212,0.021,0.0990566037735849,0.005,0.0202,0.4138,-2.42718446601942,-8.25242718446602,3.39805825242718,0.212,0.015,0.0101,14.1333333333333,20.990099009901,0.005,0.05
"Neutrophil count",0.0318,0,0.2179,0.01,0.0318,0.9175,0,-0.628930817610063,0.628930817610063,0.218,-0.0038,-0.0174311926605505,0.01,0.0319,0.6433,0.628930817610063,-1.57232704402516,2.83018867924528,0.2179,-0.0097,5e-04,-22.4639175257732,435.8,0.01,1e-04
"Phosphate",0.0245,0,0.2081,0.001,0.0252,0.1878,2.85714285714286,-1.22448979591837,6.93877551020408,0.208,0.0176,0.0846153846153846,0.001,0.0248,0.6015,0.816326530612245,-2.85714285714286,4.89795918367347,0.2101,-0.0126,-0.0089,-16.6746031746032,-23.6067415730337,0.001,0.001
"Platelet count",0.0577,0,0.3447,0.005,0.0577,0.9355,0,-1.21317157712305,1.38648180242634,0.345,-0.0166,-0.0481159420289855,0.005,0.0564,0.2212,-2.25303292894281,-6.06585788561525,1.21317157712305,0.3434,-0.0159,-0.0268,-21.5974842767296,-12.8134328358209,0.005,1e-06
"Platelet volume",0.1022,0,0.4643,0.001,0.1021,0.2194,-0.0978473581213307,-0.293542074363992,0.0978473581213307,0.4644,-0.0036,-0.00775193798449612,0.001,0.1027,0.8353,0.489236790606654,-4.30528375733855,5.18590998043053,0.452,-0.0333,-0.0594,-13.5735735735736,-7.60942760942761,0.001,1e-06
"Potassium urine",0,0.919,0.0573,0.1,0,0.9055,NA,-Inf,Inf,0.0573,-0.0012,-0.0209424083769633,0.1,0,0.9649,NA,-Inf,Inf,0.0573,0.0127,-0.0131,4.51181102362205,-4.37404580152672,0.1,0.05
"Protein",0.0231,0,0.2288,0.01,0.0231,0.5191,0,0,0,0.2288,0,0,0.01,0.0232,0.9615,0.432900432900433,-12.5541125541126,13.4199134199134,0.2387,-0.0225,-0.0359,-10.6088888888889,-6.64902506963788,0.01,1e-06
"Pulse rate",0.0099,4e-04,0.157,0.001,0.0099,0.6761,0,-3.03030303030303,2.02020202020202,0.1569,0.0039,0.0248565965583174,0.001,0.0092,0.2274,-8.08080808080808,-23.2323232323232,5.05050505050505,0.1565,0.0214,0.0045,7.31308411214953,34.7777777777778,0.001,0.1
"RBC",0.0424,0,0.2739,0.005,0.0422,0.6143,-0.471698113207547,-2.35849056603774,1.41509433962264,0.2737,0.0152,0.0555352575812934,0.005,0.0426,0.6883,0.471698113207547,-1.65094339622642,2.59433962264151,0.2739,0.015,-0.0037,18.26,-74.027027027027,0.005,1e-04
"Rheumatoid factor",0,0.9898,0.032,0.001,0.0011,0.8419,Inf,-Inf,Inf,0.033,0.0143,0.433333333333333,0.001,2e-04,0.8129,Inf,-Inf,Inf,0.0314,-0.0221,0.0114,-1.42081447963801,2.75438596491228,0.001,1e-06
"Right hand grip strength",0.0105,0,0.1213,0.1,0.0108,0.6421,3.80952380952381,-10.4761904761905,21.9047619047619,0.1211,0.0238,0.196531791907514,0.1,0.0099,0.4928,-4.76190476190476,-20,9.52380952380952,0.1252,0.0085,-0.0208,14.7294117647059,-6.01923076923077,0.1,0.5
"SHBG",0.0486,0,0.2737,0.001,0.051,0.1122,4.93827160493827,-1.02880658436214,12.1399176954733,0.2755,-0.0686,-0.249001814882033,0.001,0.0454,0.4072,-6.5843621399177,-21.3991769547325,8.64197530864197,0.2405,-0.0116,-0.0868,-20.7327586206897,-2.77073732718894,0.001,1e-06
"SHBG 0",0.0618,0,0.3144,0.001,0.0617,0.8397,-0.161812297734628,-0.970873786407767,0.970873786407767,0.3147,-0.0109,-0.034636161423578,0.001,0.0611,0.6851,-1.13268608414239,-6.47249190938511,4.20711974110032,0.3158,0.0237,-0.031,13.3248945147679,-10.1870967741935,0.001,1e-06
"Sodium urine",7e-04,0.2063,0.1081,0.5,6e-04,0.8199,0,-42.8571428571429,28.5714285714286,0.1078,0.0111,0.102968460111317,0.5,7e-04,0.7303,0,-28.5714285714286,57.1428571428572,0.109,-0.0095,-0.0033,-11.4736842105263,-33.030303030303,0.5,0.05
"Systolic BP",0.0193,0,0.1671,0.05,0.0199,0.289,2.59067357512953,-2.59067357512953,8.80829015544041,0.1671,-0.0182,-0.108916816277678,0.05,0.0185,0.1058,-4.14507772020725,-9.84455958549223,1.03626943005181,0.1672,0.0134,-0.01,12.4776119402985,-16.72,0.05,1e-04
"Testosterone",0.0183,0,0.0795,1e-04,0.0497,2e-04,171.584699453552,87.431693989071,278.688524590164,0.072,0.0827,1.14861111111111,1e-04,0.029,0.093,57.9234972677596,-7.65027322404372,150.819672131148,0.0521,0.0754,-0.0264,0.690981432360743,-1.97348484848485,1e-04,0.005
"Testosterone 0",0.0096,0,0.0439,1e-04,0.0095,0.7309,-1.04166666666667,-4.16666666666667,3.125,0.0441,-0.0023,-0.0521541950113379,1e-04,0.0156,0.1116,63.5416666666667,-12.5,150,0.0442,0.023,-0.0334,1.92173913043478,-1.32335329341317,1e-04,0.001
"Triglycerides",0.035,0,0.2554,0.005,0.0363,0.2928,3.71428571428571,-3.14285714285714,11.1428571428571,0.2556,0.0407,0.159233176838811,0.005,0.0439,0.0242,25.4285714285714,3.14285714285714,49.4285714285714,0.2271,0.0813,0.0461,2.79335793357934,4.92624728850325,0.005,1e-10
"Urate",0.0347,0,0.2634,0.005,0.0351,0.5067,1.15273775216138,-2.59365994236311,4.89913544668588,0.2638,-0.0272,-0.103108415466262,0.005,0.0307,0.0116,-11.5273775216138,-21.3256484149856,-2.30547550432277,0.243,0.0147,-0.0688,16.530612244898,-3.53197674418605,0.005,1e-08
"Urea",0.0082,0,0.159,0.005,0.0083,0.3126,2.4390243902439,-2.4390243902439,7.31707317073171,0.1589,0.0084,0.052863436123348,0.005,0.0083,0.7743,1.21951219512195,-8.53658536585366,10.9756097560976,0.159,-0.008,0.0124,-19.875,12.8225806451613,0.005,0.001
"Vitamin D",0.0032,0.0074,0.1973,0.001,0.0032,0.7041,0,-6.25,9.375,0.1971,0.0103,0.052257737189244,0.001,0.0027,0.5425,-15.625,-71.875,34.375,0.1919,0.0295,0.029,6.50508474576271,6.61724137931034,0.001,1e-08
"Waist circumference",0.0132,0,0.2287,0.05,0.0135,0.2424,2.27272727272727,-1.51515151515152,7.57575757575758,0.229,-0.0162,-0.0707423580786026,0.05,0.0134,0.3892,2.27272727272727,-2.27272727272727,6.81818181818182,0.229,0.0117,-0.0099,19.5726495726496,-23.1313131313131,0.05,0.5
"Whole body fat mass",0.0223,0,0.2756,0.1,0.0236,0.0754,5.82959641255605,-0.448430493273543,12.5560538116592,0.276,-0.038,-0.13768115942029,0.1,0.0228,0.2014,2.24215246636771,-1.34529147982063,5.82959641255605,0.2791,0.0223,-0.0015,12.5156950672646,-186.066666666667,0.1,0.5
"WHR adj BMI",0.0109,0,0.1511,0.01,0.012,0.2576,10.0917431192661,-7.3394495412844,28.4403669724771,0.1515,-0.045,-0.297029702970297,0.01,0.0126,0.4702,15.5963302752294,-26.605504587156,60.5504587155963,0.1393,0.0139,-0.0732,10.021582733813,-1.90300546448087,0.01,1e-04
